FID;Shape *;Nm_Ruas;Kd_Inf;Panjang;STA_AWAL;STA_AKHIR;Kondisi;Tipe_Perke;Lebar_STA
2;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;5+200;5+300;baik ;aspal;6
246;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;0+000;0+100;baik ;aspal;6
247;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;0+100;0+200;baik ;aspal;6
248;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;0+200;0+300;baik ;aspal;6
249;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;0+300;0+400;baik ;aspal;6
250;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;0+400;0+500;baik ;aspal;6
251;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;0+500;0+600;baik ;aspal;6
252;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;0+600;0+700;baik ;aspal;6
253;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;0+700;0+800;baik ;aspal;6
254;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;0+800;0+900;baik ;aspal;6
255;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;0+900;1+000;baik ;aspal;6
256;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;1+000;1+100;baik ;aspal;6
257;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;1+100;1+200;baik ;aspal;6
258;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;1+200;1+300;baik ;aspal;6
259;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;1+300;1+400;baik ;aspal;6
260;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;1+400;1+500;baik ;aspal;6
261;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;1+500;1+600;baik ;aspal;6
262;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;1+600;1+700;baik ;aspal;6
263;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;1+700;1+800;baik ;aspal;6
264;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;1+800;1+900;baik ;aspal;6
265;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;1+900;2+000;baik ;aspal;6
266;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;2+000;2+100;baik ;aspal;6
267;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;2+100;2+200;baik ;aspal;6
268;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;2+200;2+300;baik ;aspal;6
269;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;2+300;2+400;baik ;aspal;6
270;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;2+400;2+500;baik ;aspal;6
271;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;2+500;2+600;sedang;aspal;6
272;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;2+600;2+700;sedang;aspal;6
273;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;2+700;2+800;sedang;aspal;6
274;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;2+800;2+900;sedang;aspal;6
275;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;2+900;3+000;sedang;aspal;6
276;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;3+000;3+100;sedang;aspal;6
277;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;3+100;3+200;sedang;aspal;6
278;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;3+200;3+300;sedang;aspal;6
279;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;3+300;3+400;sedang;aspal;6
280;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;3+400;3+500;sedang;aspal;6
281;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;3+500;3+600;sedang;aspal;6
282;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;3+600;3+700;sedang;aspal;6
283;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;3+700;3+800;sedang;aspal;6
284;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;3+800;3+900;sedang;aspal;6
285;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;3+900;4+000;sedang;aspal;6
286;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;4+000;4+100;sedang;aspal;6
287;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;4+100;4+200;sedang;aspal;6
288;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;4+200;4+300;sedang;aspal;6
289;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;4+300;4+400;sedang;aspal;6
290;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;4+400;4+500;sedang;aspal;6
291;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;4+500;4+600;sedang;aspal;6
292;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;4+600;4+700;sedang;aspal;6
293;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;4+700;4+800;sedang;aspal;6
294;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;4+800;4+900;sedang;aspal;6
295;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;4+900;5+000;sedang;aspal;6
296;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;5+000;5+100;sedang;aspal;6
297;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;5+100;5+200;sedang;aspal;6
298;Polyline ZM;Jl. Bajulan-Kenongorejo;002;5.350;5+300;5+346;sedang;aspal;6
66;Polyline ZM;Jl. Caruban-Morang;003;14.510;14+300;14+400;sedang;aspal;6
299;Polyline ZM;Jl. Caruban-Morang;003;14.510;0+000;0+100;sedang;aspal;6
300;Polyline ZM;Jl. Caruban-Morang;003;14.510;0+100;0+200;sedang;aspal;6
301;Polyline ZM;Jl. Caruban-Morang;003;14.510;0+200;0+300;sedang;aspal;6
302;Polyline ZM;Jl. Caruban-Morang;003;14.510;0+300;0+400;sedang;aspal;6
303;Polyline ZM;Jl. Caruban-Morang;003;14.510;0+400;0+500;sedang;aspal;6
304;Polyline ZM;Jl. Caruban-Morang;003;14.510;0+500;0+600;sedang;aspal;6
305;Polyline ZM;Jl. Caruban-Morang;003;14.510;0+600;0+700;sedang;aspal;6
306;Polyline ZM;Jl. Caruban-Morang;003;14.510;0+700;0+800;sedang;aspal;6
307;Polyline ZM;Jl. Caruban-Morang;003;14.510;0+800;0+900;sedang;aspal;6
308;Polyline ZM;Jl. Caruban-Morang;003;14.510;0+900;1+000;sedang;aspal;6
309;Polyline ZM;Jl. Caruban-Morang;003;14.510;1+000;1+100;sedang;aspal;6
310;Polyline ZM;Jl. Caruban-Morang;003;14.510;1+100;1+200;sedang;aspal;6
311;Polyline ZM;Jl. Caruban-Morang;003;14.510;1+200;1+300;sedang;aspal;6
312;Polyline ZM;Jl. Caruban-Morang;003;14.510;1+300;1+400;sedang;aspal;6
313;Polyline ZM;Jl. Caruban-Morang;003;14.510;1+400;1+500;sedang;aspal;6
314;Polyline ZM;Jl. Caruban-Morang;003;14.510;1+500;1+600;sedang;aspal;6
315;Polyline ZM;Jl. Caruban-Morang;003;14.510;1+600;1+700;sedang;aspal;6
316;Polyline ZM;Jl. Caruban-Morang;003;14.510;1+700;1+800;sedang;aspal;6
317;Polyline ZM;Jl. Caruban-Morang;003;14.510;1+800;1+900;sedang;aspal;6
318;Polyline ZM;Jl. Caruban-Morang;003;14.510;1+900;2+000;sedang;aspal;6
319;Polyline ZM;Jl. Caruban-Morang;003;14.510;2+000;2+100;sedang;aspal;6
320;Polyline ZM;Jl. Caruban-Morang;003;14.510;2+100;2+200;sedang;aspal;6
321;Polyline ZM;Jl. Caruban-Morang;003;14.510;2+200;2+300;sedang;aspal;6
322;Polyline ZM;Jl. Caruban-Morang;003;14.510;2+300;2+400;sedang;aspal;6
323;Polyline ZM;Jl. Caruban-Morang;003;14.510;2+400;2+500;sedang;aspal;6
324;Polyline ZM;Jl. Caruban-Morang;003;14.510;2+500;2+600;sedang;aspal;6
325;Polyline ZM;Jl. Caruban-Morang;003;14.510;2+600;2+700;sedang;aspal;6
326;Polyline ZM;Jl. Caruban-Morang;003;14.510;2+700;2+800;sedang;aspal;6
327;Polyline ZM;Jl. Caruban-Morang;003;14.510;2+800;2+900;sedang;aspal;6
328;Polyline ZM;Jl. Caruban-Morang;003;14.510;2+900;3+000;sedang;aspal;6
329;Polyline ZM;Jl. Caruban-Morang;003;14.510;3+000;3+100;sedang;aspal;6
330;Polyline ZM;Jl. Caruban-Morang;003;14.510;3+100;3+200;sedang;aspal;6
331;Polyline ZM;Jl. Caruban-Morang;003;14.510;3+200;3+300;sedang;aspal;6
332;Polyline ZM;Jl. Caruban-Morang;003;14.510;3+300;3+400;sedang;aspal;6
333;Polyline ZM;Jl. Caruban-Morang;003;14.510;3+400;3+500;sedang;aspal;6
334;Polyline ZM;Jl. Caruban-Morang;003;14.510;3+500;3+600;sedang;aspal;6
335;Polyline ZM;Jl. Caruban-Morang;003;14.510;3+600;3+700;sedang;aspal;6
336;Polyline ZM;Jl. Caruban-Morang;003;14.510;3+700;3+800;sedang;aspal;6
337;Polyline ZM;Jl. Caruban-Morang;003;14.510;3+800;3+900;sedang;aspal;6
338;Polyline ZM;Jl. Caruban-Morang;003;14.510;3+900;4+000;sedang;aspal;6
339;Polyline ZM;Jl. Caruban-Morang;003;14.510;4+000;4+100;sedang;aspal;6
340;Polyline ZM;Jl. Caruban-Morang;003;14.510;4+100;4+200;sedang;aspal;6
341;Polyline ZM;Jl. Caruban-Morang;003;14.510;4+200;4+300;sedang;aspal;6
342;Polyline ZM;Jl. Caruban-Morang;003;14.510;4+300;4+400;sedang;aspal;6
343;Polyline ZM;Jl. Caruban-Morang;003;14.510;4+400;4+500;sedang;aspal;6
344;Polyline ZM;Jl. Caruban-Morang;003;14.510;4+500;4+600;sedang;aspal;6
345;Polyline ZM;Jl. Caruban-Morang;003;14.510;4+600;4+700;sedang;aspal;6
346;Polyline ZM;Jl. Caruban-Morang;003;14.510;4+700;4+800;sedang;aspal;6
347;Polyline ZM;Jl. Caruban-Morang;003;14.510;4+800;4+900;sedang;aspal;6
348;Polyline ZM;Jl. Caruban-Morang;003;14.510;4+900;5+000;sedang;aspal;6
349;Polyline ZM;Jl. Caruban-Morang;003;14.510;5+000;5+100;sedang;aspal;6
350;Polyline ZM;Jl. Caruban-Morang;003;14.510;5+100;5+200;sedang;aspal;6
351;Polyline ZM;Jl. Caruban-Morang;003;14.510;5+200;5+300;sedang;aspal;6
352;Polyline ZM;Jl. Caruban-Morang;003;14.510;5+300;5+400;sedang;aspal;6
353;Polyline ZM;Jl. Caruban-Morang;003;14.510;5+400;5+500;sedang;aspal;6
354;Polyline ZM;Jl. Caruban-Morang;003;14.510;5+500;5+600;sedang;aspal;6
355;Polyline ZM;Jl. Caruban-Morang;003;14.510;5+600;5+700;sedang;aspal;6
356;Polyline ZM;Jl. Caruban-Morang;003;14.510;5+700;5+800;sedang;aspal;6
357;Polyline ZM;Jl. Caruban-Morang;003;14.510;5+800;5+900;sedang;aspal;6
358;Polyline ZM;Jl. Caruban-Morang;003;14.510;5+900;6+000;sedang;aspal;6
359;Polyline ZM;Jl. Caruban-Morang;003;14.510;6+000;6+100;sedang;aspal;6
360;Polyline ZM;Jl. Caruban-Morang;003;14.510;6+100;6+200;sedang;aspal;6
361;Polyline ZM;Jl. Caruban-Morang;003;14.510;6+200;6+300;sedang;aspal;6
362;Polyline ZM;Jl. Caruban-Morang;003;14.510;6+300;6+400;sedang;aspal;6
363;Polyline ZM;Jl. Caruban-Morang;003;14.510;6+400;6+500;sedang;aspal;6
364;Polyline ZM;Jl. Caruban-Morang;003;14.510;6+500;6+600;sedang;aspal;6
365;Polyline ZM;Jl. Caruban-Morang;003;14.510;6+600;6+700;sedang;aspal;6
366;Polyline ZM;Jl. Caruban-Morang;003;14.510;6+700;6+800;sedang;aspal;6
367;Polyline ZM;Jl. Caruban-Morang;003;14.510;6+800;6+900;sedang;aspal;6
368;Polyline ZM;Jl. Caruban-Morang;003;14.510;6+900;7+000;sedang;aspal;6
369;Polyline ZM;Jl. Caruban-Morang;003;14.510;7+000;7+100;sedang;aspal;6
370;Polyline ZM;Jl. Caruban-Morang;003;14.510;7+100;7+200;sedang;aspal;6
371;Polyline ZM;Jl. Caruban-Morang;003;14.510;7+200;7+300;sedang;aspal;6
372;Polyline ZM;Jl. Caruban-Morang;003;14.510;7+300;7+400;sedang;aspal;6
373;Polyline ZM;Jl. Caruban-Morang;003;14.510;7+400;7+500;sedang;aspal;6
374;Polyline ZM;Jl. Caruban-Morang;003;14.510;7+500;7+600;sedang;aspal;6
375;Polyline ZM;Jl. Caruban-Morang;003;14.510;7+600;7+700;sedang;aspal;6
376;Polyline ZM;Jl. Caruban-Morang;003;14.510;7+700;7+800;sedang;aspal;6
377;Polyline ZM;Jl. Caruban-Morang;003;14.510;7+800;7+900;sedang;aspal;6
378;Polyline ZM;Jl. Caruban-Morang;003;14.510;7+900;8+000;sedang;aspal;6
379;Polyline ZM;Jl. Caruban-Morang;003;14.510;8+000;8+100;sedang;aspal;6
380;Polyline ZM;Jl. Caruban-Morang;003;14.510;8+100;8+200;sedang;aspal;6
381;Polyline ZM;Jl. Caruban-Morang;003;14.510;8+200;8+300;sedang;aspal;6
382;Polyline ZM;Jl. Caruban-Morang;003;14.510;8+300;8+400;sedang;aspal;6
383;Polyline ZM;Jl. Caruban-Morang;003;14.510;8+400;8+500;sedang;aspal;6
384;Polyline ZM;Jl. Caruban-Morang;003;14.510;8+500;8+600;sedang;aspal;6
385;Polyline ZM;Jl. Caruban-Morang;003;14.510;8+600;8+700;sedang;aspal;6
386;Polyline ZM;Jl. Caruban-Morang;003;14.510;8+700;8+800;sedang;aspal;6
387;Polyline ZM;Jl. Caruban-Morang;003;14.510;8+800;8+900;sedang;aspal;6
388;Polyline ZM;Jl. Caruban-Morang;003;14.510;8+900;9+000;sedang;aspal;6
389;Polyline ZM;Jl. Caruban-Morang;003;14.510;9+000;9+100;sedang;aspal;6
390;Polyline ZM;Jl. Caruban-Morang;003;14.510;9+100;9+200;sedang;aspal;6
391;Polyline ZM;Jl. Caruban-Morang;003;14.510;9+200;9+300;sedang;aspal;6
392;Polyline ZM;Jl. Caruban-Morang;003;14.510;9+300;9+400;sedang;aspal;6
393;Polyline ZM;Jl. Caruban-Morang;003;14.510;9+400;9+500;sedang;aspal;6
394;Polyline ZM;Jl. Caruban-Morang;003;14.510;9+500;9+600;sedang;aspal;6
395;Polyline ZM;Jl. Caruban-Morang;003;14.510;9+600;9+700;sedang;aspal;6
396;Polyline ZM;Jl. Caruban-Morang;003;14.510;9+700;9+800;sedang;aspal;6
397;Polyline ZM;Jl. Caruban-Morang;003;14.510;9+800;9+900;sedang;aspal;6
398;Polyline ZM;Jl. Caruban-Morang;003;14.510;9+900;10+000;sedang;aspal;6
399;Polyline ZM;Jl. Caruban-Morang;003;14.510;10+000;10+100;sedang;aspal;6
400;Polyline ZM;Jl. Caruban-Morang;003;14.510;10+100;10+200;sedang;aspal;6
401;Polyline ZM;Jl. Caruban-Morang;003;14.510;10+200;10+300;sedang;aspal;6
402;Polyline ZM;Jl. Caruban-Morang;003;14.510;10+300;10+400;sedang;aspal;6
403;Polyline ZM;Jl. Caruban-Morang;003;14.510;10+400;10+500;sedang;aspal;6
404;Polyline ZM;Jl. Caruban-Morang;003;14.510;10+500;10+600;sedang;aspal;6
405;Polyline ZM;Jl. Caruban-Morang;003;14.510;10+600;10+700;sedang;aspal;6
406;Polyline ZM;Jl. Caruban-Morang;003;14.510;10+700;10+800;sedang;aspal;6
407;Polyline ZM;Jl. Caruban-Morang;003;14.510;10+800;10+900;sedang;aspal;6
408;Polyline ZM;Jl. Caruban-Morang;003;14.510;10+900;11+000;sedang;aspal;6
409;Polyline ZM;Jl. Caruban-Morang;003;14.510;11+000;11+100;sedang;aspal;6
410;Polyline ZM;Jl. Caruban-Morang;003;14.510;11+100;11+200;sedang;aspal;6
411;Polyline ZM;Jl. Caruban-Morang;003;14.510;11+200;11+300;sedang;aspal;6
412;Polyline ZM;Jl. Caruban-Morang;003;14.510;11+300;11+400;sedang;aspal;6
413;Polyline ZM;Jl. Caruban-Morang;003;14.510;11+400;11+500;sedang;aspal;6
414;Polyline ZM;Jl. Caruban-Morang;003;14.510;11+500;11+600;sedang;aspal;6
415;Polyline ZM;Jl. Caruban-Morang;003;14.510;11+600;11+700;sedang;aspal;6
416;Polyline ZM;Jl. Caruban-Morang;003;14.510;11+700;11+800;sedang;aspal;6
417;Polyline ZM;Jl. Caruban-Morang;003;14.510;11+800;11+900;sedang;aspal;6
418;Polyline ZM;Jl. Caruban-Morang;003;14.510;11+900;12+000;sedang;aspal;6
419;Polyline ZM;Jl. Caruban-Morang;003;14.510;12+000;12+100;sedang;aspal;6
420;Polyline ZM;Jl. Caruban-Morang;003;14.510;12+100;12+200;sedang;aspal;6
421;Polyline ZM;Jl. Caruban-Morang;003;14.510;12+200;12+300;sedang;aspal;6
422;Polyline ZM;Jl. Caruban-Morang;003;14.510;12+300;12+400;sedang;aspal;6
423;Polyline ZM;Jl. Caruban-Morang;003;14.510;12+400;12+500;sedang;aspal;6
424;Polyline ZM;Jl. Caruban-Morang;003;14.510;12+500;12+600;sedang;aspal;6
425;Polyline ZM;Jl. Caruban-Morang;003;14.510;12+600;12+700;sedang;aspal;6
426;Polyline ZM;Jl. Caruban-Morang;003;14.510;12+700;12+800;sedang;aspal;6
427;Polyline ZM;Jl. Caruban-Morang;003;14.510;12+800;12+900;sedang;aspal;6
428;Polyline ZM;Jl. Caruban-Morang;003;14.510;12+900;13+000;sedang;aspal;6
429;Polyline ZM;Jl. Caruban-Morang;003;14.510;13+000;13+100;sedang;aspal;6
430;Polyline ZM;Jl. Caruban-Morang;003;14.510;13+100;13+200;sedang;aspal;6
431;Polyline ZM;Jl. Caruban-Morang;003;14.510;13+200;13+300;sedang;aspal;6
432;Polyline ZM;Jl. Caruban-Morang;003;14.510;13+300;13+400;sedang;aspal;6
433;Polyline ZM;Jl. Caruban-Morang;003;14.510;13+400;13+500;sedang;aspal;6
434;Polyline ZM;Jl. Caruban-Morang;003;14.510;13+500;13+600;sedang;aspal;6
435;Polyline ZM;Jl. Caruban-Morang;003;14.510;13+600;13+700;sedang;aspal;6
436;Polyline ZM;Jl. Caruban-Morang;003;14.510;13+700;13+800;sedang;aspal;6
437;Polyline ZM;Jl. Caruban-Morang;003;14.510;13+800;13+900;sedang;aspal;6
438;Polyline ZM;Jl. Caruban-Morang;003;14.510;13+900;14+000;sedang;aspal;6
439;Polyline ZM;Jl. Caruban-Morang;003;14.510;14+000;14+100;sedang;aspal;6
440;Polyline ZM;Jl. Caruban-Morang;003;14.510;14+100;14+200;sedang;aspal;6
441;Polyline ZM;Jl. Caruban-Morang;003;14.510;14+200;14+300;sedang;aspal;6
442;Polyline ZM;Jl. Caruban-Morang;003;14.510;14+400;14+498;sedang;aspal;6
31;Polyline ZM;Jl. Balerejo-Muneng;004;7.800;7+700;7+800;sedang;aspal;6
443;Polyline ZM;Jl. Balerejo-Muneng;004;7.800;0+000;0+100;sedang;aspal;6
444;Polyline ZM;Jl. Balerejo-Muneng;004;7.800;0+100;0+200;sedang;aspal;6
445;Polyline ZM;Jl. Balerejo-Muneng;004;7.800;0+200;0+300;sedang;aspal;6
446;Polyline ZM;Jl. Balerejo-Muneng;004;7.800;0+300;0+400;sedang;aspal;6
447;Polyline ZM;Jl. Balerejo-Muneng;004;7.800;0+400;0+500;sedang;aspal;6
